year,page,category,chunk
2024,2,RAPPORT D'ACTIVITÉS,"RAPPORT D'ACTIVITÉS > LA RICHESSE DU QUOTIDIEN
Rendre compte de son activité est un exercice qui peut apparaître rédhibitoire au premier abord. Aligner des chiffres, énumérer des actions, rappeler ce qui a été fait et que nous connaissons déjà peut plonger dans l'ennui et le désintérêt.
J'y vois pourtant une double nécessité pour notre collectivité :
- Faire connaître son action : sa méconnaissance est autant de possibilité laissée aux faux débats, aux mensonges, qui perturbent nos concitoyens et les détournent encore plus de la chose publique.
- Reconnaître le travail des agents de la Communauté d'agglomération, depuis les cadres dirigeants jusqu'aux agents, que je félicite pour leur implication et leur action au quotidien en faveur du service public.
2024 s'inscrit dans la continuité des années précédentes. Nous avons adopté en début de mandat un projet de territoire dont l'exécution se poursuit comme vous le verrez dans ce document.
De grands dossiers stratégiques ont connu en 2024 des avancées décisives :
- L'avenir des friches industrielles de Hayange, Florange et Sertensange-Erzange sur le site de Patural ; nous avons signé en présence d'un ministre le 24 mai un Projet Partenarial d'Aménagement qui assurera que cet espace de plus de 160 ha soit aménagé une fois la dépollution achevée selon l'intérêt public que nous aurons collectivement établi.
- La fusion avec nos voisins de Portes de France - Thionville dont le processus a été définitivement validé le 1er août par le Préfet qui a signé l'arrêté de modification du périmètre de nos deux collectivités. Le travail de mise en place de la future agglomération a pu débuter dans le respect des équilibres pour les deux territoires.
- Les Grands Bureaux de Wendel : une réelle fierté pour le Val de Fensch d'avoir trouvé une solution à ce bâtiment, le sauvant de la ruine et lui redonnant vie par la création de plus de 100 logements de standing à Hayange. Le 6 décembre, nous avons procédé à la vente à « Histoire et Patrimoine ».
Vous lirez également dans les pages suivantes la richesse de nos actions au quotidien : sur les chantiers de l'assainissement ou de « Cœur de Villes Cœur de Fensch » ; sur l'accueil de la petite enfance ou la fréquentation (en hausse) de nos équipements culturels et sportifs ; sur nos déchèteries dont nous achevons la modernisation pour un service de qualité aux usagers ; sur nos liens avec les acteurs économiques du territoire depuis le plus petit artisan jusqu'aux industriels de groupes mondiaux ; sur l'activité administrative au service de nos concitoyens, et à la bonne gestion de notre collectivité…
Comme les années précédentes, ce rapport une fois adopté, sera envoyé à chacune des 10 communes et présenté devant nos conseils municipaux respectifs. Au-delà des débats qui traversent notre assemblée, nous pourrons je l'espère nous retrouver pour porter fièrement l'activité de la Communauté d'agglomération du Val de Fensch pour 2024, comme ce fut le cas des années précédentes."
2024,3,RAPPORT D'ACTIVITÉS,"RAPPORT D'ACTIVITÉS > MICHEL LIEBGOTT
Président de la Communauté d'agglomération du Val de Fensch Maire de Farnock
Membre honoraire du parlement"
2024,3,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > FAITS MARQUANTS > ZONES D'ACTIVITÉS
- 18 805 m² de foncier commercialisé sur la ZAC de la Fethère à Fameck et Sainte-Agathe à Fameck/Florange.
- Signature d'une promesse de vente avec ADM pour la reconversion du site logistique Tenneco à Fameck.
- Ouverture des entreprises MB Lux Étanchéité et Direct Fenêtres sur le village artisanal de la ZAC la Fethère.
- Passage à l'éclairage LED des zones d'activités pour un montant de 160 000 €."
2024,3,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > FAITS MARQUANTS > DIVERS
- Création d'une newsletter trimestrielle d'informations économiques."
2024,3,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > INDUSTRIE RÉINDUSTRIALISATION
- L'ancrement de la démarche Territoire d'Industrie, aux côtés de 9 autres EPCI Nord-Lorrain, visant à concentrer les aides de l'État sur des projets industriels innovants et à renforcer l'attractivité et le dynamisme industriel du territoire.
- Participation à la démarche Industrie et Compétences en appui du Conseil de Développement et en partenariat avec les entreprises du territoire, pour valoriser l'image de l'industrie et de ses métiers auprès des jeunes."
2024,3,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > INDUSTRIE RÉINDUSTRIALISATION > COMMERCE ET ARTISANAT
- Soutien à l'association des commerçants Cop-Fensch qui a rassemblé des milliers de participants autour de trois jeux concours d'envergure sur l'ensemble des communes de la vallée.
- Organisation de 4 ateliers numériques à l'intention des artisans et des commerçants du territoire, en partenariat avec la Chambre de Commerce et d'Industrie de la Moselle et la Chambre des Métiers et de l'Artisanat de Moselle.
Installation de nouvelles entreprises sur le village artisanal de la ZAC La Fethère à Fameck"
2024,4,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > PERSPECTIVES
- Travaux d'aménagement qualitatif des zones d'activités pour 897 000 €.
- Réfection du Pont AUF4 situé rue Descartes à Florange au-dessus de l'A30 pour un montant de 1 660 000 €.
- Mise en place d'une nouvelle signalétique des zones d'activités pour 180 000 €.
- Création d'un guide d'accueil des nouvelles entreprises, avec une cérémonie d'accueil qui leur est consacrée.
- Poursuite de la lettre d'informations économiques et projet d'extension au territoire Portes de France - Thionville."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > FAITS MARQUANTS
- Signature du nouveau contrat de ville Engagements Quartiers 2030 par l'ensemble des partenaires pour la période 2024-2030 et adoption des annexes du document cadre.
- 350 collégiens et lycéens ont assisté à la pièce de théâtre LEDEN à Ismaël SADI, une action proposée dans le cadre de la prévention de la radicalisation, en partenariat avec les clubs de prévention du CMSEA et de l'AISF.
- Concert à l' Renard de Metz dans le cadre de la 7ème année du Dispositif d'Éducation Musicale et Orchestrale à vocation Sociale (DEMOS). 30 enfants issus des quartiers prioritaires de l' Ireneck et Uckange ont participé à ce projet."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > FAITS MARQUANTS
- Nettoyage de faire d'accueil Lilia Flores à Nlivange, avec le chantier d'insertion de l'AISF et sécurisation du site en attendant la révision du schéma départemental d'accueil et d'hébergement des gens du voyage."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > FAITS MARQUANTS
- Restitution de l'Observatoire de l'Habitat et du Forcier par l'AGLIRAM, 1er observatoire de France issu de la loi Climat et Réglance. L'objectif est de mettre en relation les projets des collectivités avec les disponibilités foncières et les futures opportunités à l'intérieur des tissus urbains existants.
- Signature du Contrat de Misele Sociale entre Nlivange, l'État et l'EPFGE. Il permet à la ville de disposer de moyens pour atteindre ses objectifs de rattrapage de logements sociaux."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > DE SURVENTIONS REVERSÉES À DES ASSOCIATIONS DANS LE CADRE DU CONTRAT DE VILLE
Inscrivez et associez : 150 enfants issus du Nord Mosellan pour l'accompagnement des jeunes de 16 à 25 ans"
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > DE SURVENTIONS REVERSÉES À DES ASSOCIATIONS DANS LE CADRE DU CONTRAT DE VILLE
- Élargissement du dispositif du permis de louer au 1er juillet 2024 à la commune de Serémange-Ezange.
- Depuis le 27 juin 2024, en cas de manquement au dispositif du permis de louer, les sanctions sont appliquées au propriétaire par la Communauté d'agglomération, qui recouvre directement les amendes.
- Mise en avant du dispositif du permis de louer lors d'un reportage diffusé au journal de France 2."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > 407 022 3 > DE SURVENTIONS REVERSÉES À DES ASSOCIATIONS DANS LE CADRE DU CONTRAT DE VILLE
- Adoption d'une convention entre Batigère Habitat, l'EPFGE, Nlivange et la Communauté d'agglomération pour le rachat et l'amélioration por Batigère Habitat de 30 à 50 logements au sein de la copropriété du 13/39 rue des Visages à Nlivange.
- Copropriété du 2/18 rue Castelnau à Nlivange : remplacement des portes d'entrées avant et arrière, remplacement des interphones, adaptation minutieux et diagnostic plomb.
- Copropriété du 3/19 rue Castelnau à Nlivange : réception des travaux d'urgence de mise en sécurité (toiture et installations électriques entrées 3 et 5).
- Copropriété du 202 rue V. Rimmel Knutange (dit le Y) : lancement de l' ORAH copropriétés dégradées, signature de la convention ORAH et suivi-animation confiée au groupement conjoint CALM-SCHILA et l'association AMLI.
- Copropriété 30 rue Poincaré Algrange : lancement des opératrons préalables aux travaux de démolition.
- Copropriété 12/24 Avenue de Metz à l' Ireneck : signature d'une convention opérationnelle Communauté d'agglomération EPFGE - Batigère Habitat et interventions techniques.
- Copropriété du 176 rue Charles de Gaulle Serémange-Ezange : accompagnement de l'administration provisoire et actions pénales contre les occupations illégales.
- Destruction par l'EPFGE de l'immeuble au 28 rue Joffre à Nlivange et reconstruction/renovation du 26/28 rue Joffre par Batigère Habitat pour créer 10 logements sociaux."
2024,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > PERSPECTIVES
- Lancement de l'appel à projets 2025 politique de la ville de façon concertée et partenariale avec la Portes de France-Thionville en vue de la fusion des 2 EPCO au 1er janvier 2026.
- Promotion de la diversité et de la laïcité à travers une représentation de la pièce de théâtre [ERUSALEM d'Ismaël SADI auprès des collégiens et lycéens du territoire."
2024,5,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > PERSPECTIVES
- Signature du Pacte Territorial France Rénov' (PfG) pour une durée de 3 ans avec l'ANAH.
- Présentation du bilan triennal du PLH au CRIHH (Comité Régional de l'Habitat et de l'Hébergement).
- Copropriété du 2/20 rue des Visages : lancement du programme de réfection des façades.
- Copropriété du 13/39 rue des Visages, 3/19 et 2/18 rue Castelnau : lancement des travaux de réfection de la toiture et isolation des combles.
- Copropriété du 2/8 rue des Peuplets Knutange : mise en place d'un partenariat avec la SENIOK TAVE pour le suivi-animation de la phase travaux et signature de la convention d'ORAH.
- Copropriété du 30 rue Poincaré Algrange : lancement des travaux de désamiantage et démolition de l'immeuble.
- Copropriété 12/24 Avenue de Metz à l' Ireneck : fixation judiciaire des indemnités d'expropriation et acquisition publique de l'immeuble par l'EPFGE et cession à Batigère Habitat pour démolition.
- Copropriété du 176 rue Charles De Gaulle à Serémange-Ezange : accompagnement en interne vers le statut de muncopropriété afin de supprimer les désordres nés d'une mauvaise gestion de la copropriété."
2024,5,PETITE ENFANCE,"PETITE ENFANCE > FAITS MARQUANTS
- En 2024, différents travaux de rénovation et d'amélioration ont été mis en œuvre parmi les 10 créches du territoire. Ces travaux ont été financés par la Communauté d'agglomération et bénéficient sur dossier d'un cofinancement de la Caisse d'allocations familiales et de l'État :
  - Extension du parking du multi-accueil ""La Maison des Douibus"" à Hayange et création d'un puits canadien pour rafraîchir l'air en été et le réchauffer en hiver, limiter les consommations d'énergie et améliorer le confort du bâtiment.
  - Isolation des façades extérieures et rénovation de l'espace de change de la crèche de Serémange-Erzange pour améliorer le confort des enfants et des équipes.
  - Création d'un nouvel espace de jeu extérieur à la crèche à Nilvange.
  - La Communauté d'agglomération a mis en œuvre avec la Caisse d'allocations familiales et les 10 communes du territoire, la nouvelle convention territoriale globale CTG 2025-2027. Le 1er comité de pilotage CTG s'est tenu le 21 novembre 2024 en présence des maires des 10 communes ou leurs représentants, des élus communautaires référents de la CTG et la Direction de la Caisse d'allocations familiales. Cet engagement permet notamment à la Communauté d'agglomération de disposer d'une offre d'accueil variée et de qualité pour les familles et leurs enfants.
  - Le Relais Petite Enfance du Val de Fensch La Lucide continue d'accompagner les familles et les assistantes maternelles. En 2024, l'équipe du Relais a initié des soirées de présentation des missions du Relais dans les communes, à destination des assistantes maternelles : accompagnement, formations professionnelles, activités ludiques pour les enfants accueillis… Ces soirées se poursuivent dans d'autres communes en 2025.
  - Partenariat avec l'association AD/S, qui permet à une dizaine de familles de bénéficier du dispositif ""Tânes à toute heure"", une garde aux domiciles des parents."
2024,5,PETITE ENFANCE,"PETITE ENFANCE > PERSPECTIVES > DANS LE CADRE DE LA CONVENTION TERRITORIALE GLOBALE
- Mais en place d'un guichet unique (système commun de pré-inscriptions dans les crèches), afin de simplifier et faciliter l'accès en crèches aux familles sur l'ensemble des 10 structures relevant de la compétence de l'intercommunalité.
- Amélioration de l'attractivité des métiers de la Petite Enfance.
- Favoriser l'accueil du public en situation de handicap dans les structures.
- Favoriser l'accueil du public en insertion sociale et professionnelle dans les structures."
