year,page,category,chunk
2012,27,Bâtiments,"Bâtiments > Copropriété les Tilleuls à Uckange
- Relogement pérenne à trouver pour les 10 ménages restants.
- Accompagnement des 10 ex-propriétaires occupants ayant un éventuel nouveau projet d'accession.
- Conclusion définitive de tous les actes amiables et prise des ordonnances d'expropriation par le juge.
- Fixation judiciaire des indemnités d'expropriation.
- Appropriation unique de l'immeuble.
- Dissolution/liquidation du syndic de copropriété géré par l'administrateur provisoire.
- Attribution du marché de gardiennage de l'immeuble.
- Lancement des opérations préalables à la démolition (diagnostic amiante, évacuation des biens, maîtrise d'oeuvre, diagnostic déchets, purge du bâtiment)."
2012,21,Bâtiments,"Bâtiments > Culture, patrimoine & tourisme > Chiffres-clés U4 : 2012
- 15 557 visiteurs, toutes activités confondues (+2% par rapport à la saison 2011).
- 1102 visiteurs lors des fêtes du 1er mai (2 jours) & 1757 visiteurs lors les Journées Européennes du Patrimoine (2 jours).
- 314 visites guidées menées par 10 guides-bénévoles (+12%).
- 29 équipes artistiques ou artistes invités représentant plus de 80 artistes.
- 19 journées événementielles, 1 atelier, 2 coproductions, 4 accueils en résidence de création.
- 4 expositions accueillies, en intérieur et en extérieur.
- 34,7% des visiteurs viennent du territoire de la CAVF."
2019,20,Bâtiments et Cultes,"Bâtiments et Cultes > Sports > Chiffres-clés : 2019
- 60 000 € de soutien Label sport, soit 5 clubs labellisés
  - Tour de Moselle : 4 000 €
  - Pastourelles : 3 000 €
  - Uckange Evolution Palmes : 5 500 €
  - FOC Athlétisme : 15 000 € pour 4 dossiers : 3ème édition du Trail de la Fensch - Cross des Castors - Marche Nordique - Courses handicapé
  - TFOC Volley-Ball : 32 500 €"
2020,21,INFRASTRUCTURES,"INFRASTRUCTURES > Perspectives
- Le nombre d'assistantes maternelles agréé sur le territoire diminue régulièrement. Il est passé à 513 aujourd'hui, contre 408 en 2017.
- En 2021, une nouvelle micro-critche de 10 places ouvriroises, porte à Algrange. Les petits paredes. Ainsi, la Communauté d'Agglomération dispose de 9 structures collectives d'accueil du jeune enfant sur le territoire intercommunal.
- Le territoire bénéficie de modes d'accueil complémentaires et variés, répondant aux besoins des familles."
2022,18,28,"28 > 628 kg
De déchets produits par habitant
144391
Visites dans les 3 déchèteries
40
Borne à textile
283
Bonne à verre
243
Conteneurs enterrés"
2019,7,Sommaire,"Sommaire > ALGRANGE
M. CERBAI Jean-Pierre Mme CHOLLOT Sheree Mme CORION Patricia M. LEBOURG Gérald M. PERON Patrick"
2013,30,Chiffres-clés : 2013,"Chiffres-clés : 2013 > Politique de la ville
- 220750 €, le montant alloué en fonds propres par la CAVF aux associations conduisant des projets intercommunaux répondant aux objectifs du CUCS.
- 90000 €, le montant de subvention versé à l'AISF.
- 4129 €, le montant global des cotisations versé au CPL et CRPVL.
- 7099 €, montant de subvention versé à ELIPS rassemblant les structures d'insertion sur une plate-forme coopérative de compétences.
- 93536 €, le montant de la cotisation versé à la Mission locale du nord mosellan.
Copropriété les Tilleuls à Uckange suite au sinistre du 26 juillet 2011
- 92 actes de vente amiables représentant 234 lots.
- 32 ordonnances d'expropriation représentant 182 lots.
- , la superficie des terrains acquis par la collectivité.
- Gardiennage du site 24h/24."
2020,20,INFRASTRUCTURES,"INFRASTRUCTURES > MODES DE DÉPLACEMENT DOUX SUR LE VAL DE FENSCH FIN 2020 > 4.1.1. 2,7 km Véloroute Voie Bleue
- 26,2 km Boucle Verte et Bleue
- 5 km D'itinéraires cyclables à travers CVCF"
2018,16,Marchés publics,"Marchés publics > Autres
Mise en place d'une procédure pour une dématérialisation complète des consultations jusqu'à la notification via le profil acheteur de la collectivité « achatpublic.com »"
2015,22,Sports,"Sports > Culture & patrimoine > Perspectives 2016
- Transfert de la lecture publique.
- Opération intercommunale de la Semaine de la Paix au théâtre de Serémange-Erzange.
- Poursuite de l'accompagnement des associations culturelles et patrimoniales du territoire.
- Poursuite des études de maîtrise d'œuvre sur les grilles et le pigeonnier du site de Wendel de Hayange."
